cardiac cycle [%],t abs [s],t [s],LVP [mmHg],ECG [mV],LAD Flow [ml/s],AoP [mmHg],rad strain,circ strain,long strain,tissue vol ischemic [ml],tissue vol border [ml],tissue vol remote [ml],Unnamed: 13
0.6121504223111475,0.324766,0.585074,5.117,0.678,24.138,57.324,0.156391284880528,-0.127545444516138,-0.113447317799186,1.0183,1.087554,0.883074,1.6325683298229547
0.6168230816933159,0.327245,0.587553,5.97,0.688,25.616,57.749,0.157088352008583,-0.127712354255506,-0.113775521256178,1.018785,1.087278,0.88176,1.7867469274045107
0.6214957410754844,0.329724,0.590032,5.544,0.706,27.587,57.961,0.157300307004128,-0.127975361974126,-0.114633004297333,1.018994,1.087619,0.88116,1.712716261887602
0.626168400457653,0.332203,0.592511,6.183,0.717,29.064,58.598,0.157510488428092,-0.127665265541318,-0.115220229921664,1.018849,1.087355,0.879632,1.8218035905764316
0.6308410598398215,0.33468200000000004,0.59499,5.117,0.717,31.035,58.174,0.156905935744301,-0.126623807932277,-0.114506524594016,1.021028,1.087281,0.879584,1.6325683298229547
0.63551371922199,0.33716100000000004,0.597469,4.478,0.703,32.513,57.537,0.156735308624532,-0.125231758782025,-0.113868622255998,1.022254,1.089486,0.881858,1.499176518176563
0.6401863786041585,0.33964000000000005,0.599948,3.838,0.692,33.99,57.324,0.15312066492172,-0.120828924430895,-0.112639959126056,1.025991,1.089348,0.882109,1.344951397585508
0.644859037986327,0.34211900000000006,0.602427,3.838,0.685,35.468,57.112,0.150208637739957,-0.116340270271031,-0.111176694518896,1.02888,1.088982,0.881058,1.344951397585508
0.6495316973684956,0.34459800000000007,0.604906,4.051,0.692,36.946,56.9,0.148728136602687,-0.113428770889919,-0.109456624012097,1.031846,1.088603,0.881843,1.3989637642205535
0.6542062416475506,0.347078,0.607386,3.838,0.706,38.424,55.838,0.147721695352416,-0.111760288584252,-0.108091602009264,1.036426,1.087989,0.883538,1.344951397585508
0.6588789010297191,0.349557,0.609865,5.757,0.71,38.917,55.414,0.146410858696377,-0.108957009300836,-0.105706760426786,1.042036,1.086999,0.886424,1.7504165056936725
0.6635515604118877,0.352036,0.612344,4.051,0.706,40.394,54.14,0.142666567584832,-0.105171241973864,-0.103431193832127,1.045367,1.087221,0.889193,1.3989637642205535
0.6682242197940562,0.354515,0.614823,4.051,0.685,41.38,53.503,0.137582410464458,-0.100934291133519,-0.100396035719398,1.049277,1.088055,0.890713,1.3989637642205535
0.6728968791762246,0.35699400000000003,0.617302,3.625,0.674,41.872,52.866,0.132653929111463,-0.0965542767843798,-0.0962688538810691,1.054988,1.088437,0.895081,1.2878542883066382
0.6775695385583932,0.35947300000000004,0.619781,3.838,0.663,42.857,53.29,0.12707256208468,-0.0945111010580032,-0.0933444192622573,1.05999,1.089033,0.902495,1.344951397585508
0.6822421979405617,0.36195200000000005,0.62226,4.264,0.681,43.35,54.14,0.124566813553319,-0.0940628682669283,-0.0898109987445388,1.066476,1.091011,0.903034,1.4502076868635434
0.6869167422196167,0.364432,0.62474,4.264,0.688,43.843,54.989,0.11937529652773,-0.0916873470195905,-0.086268518107383,1.073009,1.093036,0.907166,1.4502076868635434
0.6915894016017853,0.366911,0.627219,4.478,0.696,43.843,55.201,0.112828945986499,-0.0874138809857167,-0.0827716531949329,1.078242,1.094621,0.913511,1.499176518176563
0.6962620609839538,0.36939,0.629698,3.412,0.681,44.335,53.927,0.104611122668933,-0.0838317015675246,-0.0789441633461746,1.084063,1.094596,0.912347,1.2272986296294326
0.7009347203661224,0.371869,0.632177,3.412,0.678,44.335,53.078,0.0957607364108429,-0.0806173981357276,-0.0738609304539831,1.09041,1.096139,0.911366,1.2272986296294326
0.7056073797482909,0.374348,0.634656,0.853,0.663,44.828,51.804,0.0886302072444109,-0.0780234652108478,-0.0664252256392465,1.095849,1.097246,0.911029,-0.15899573149045795
0.7102800391304593,0.376827,0.637135,2.345,0.671,44.828,52.229,0.0797365950684661,-0.073195859842429,-0.0618247307387849,1.10042,1.098282,0.9129,0.8522854018982428
0.7149526985126279,0.37930600000000003,0.639614,2.345,0.685,44.828,53.715,0.0708625307018756,-0.0684196093935734,-0.0570786852750507,1.106186,1.098641,0.912811,0.8522854018982428
0.7196253578947964,0.38178500000000004,0.642093,2.559,0.699,44.828,54.352,0.0647740286281392,-0.0651747502386947,-0.0525137493224639,1.109892,1.096061,0.910257,0.9396165571776518
0.724298017276965,0.38426400000000005,0.644572,2.345,0.703,44.828,53.927,0.0586672406382984,-0.0627659358837152,-0.0482966087273177,1.115461,1.096322,0.91089,0.8522854018982428
0.72897256155602,0.386744,0.647052,1.919,0.688,45.321,54.14,0.0513524317854246,-0.0591356492299194,-0.0436129862147285,1.119114,1.097032,0.910729,0.6518042170255629
0.7336452209381885,0.389223,0.649531,2.132,0.678,45.321,54.352,0.0448068578069508,-0.054650009174016,-0.0393765532814674,1.124372,1.095229,0.91029,0.7570605063035981
0.7383178803203571,0.391702,0.65201,1.706,0.678,45.321,53.503,0.0383673619034975,-0.0505868873864073,-0.0356976323783315,1.12693,1.095391,0.909384,0.5341514490694873
0.7429905397025255,0.394181,0.654489,2.985,0.688,44.828,53.927,0.0338910912231376,-0.0471461991404791,-0.0324833186940833,1.12528,1.095049,0.909727,1.0935997468445653
0.747663199084694,0.39666,0.656968,3.198,0.71,44.828,54.14,0.0310209205445479,-0.0442944504849788,-0.0300610897298123,1.128451,1.096337,0.912638,1.1625256144117624
